time_stamp,station_id,wind_direction_degrees,wind_speed_knots,rainfall_mm,temperature_c,humidity_pct
2025-10-09T10:00:00,S109,274,15.1,0.0,24.4,83.9
2025-10-09T10:00:00,S106,112,1.2,0.0,29.4,84.7
2025-10-09T10:00:00,S117,282,6.1,0.0,24.2,86.4
2025-10-09T10:00:00,S107,199,5.4,0.0,29.3,74.5
2025-10-09T10:00:00,S115,28,4.8,0.0,24.2,98.1
2025-10-09T10:00:00,S60,273,10.6,0.0,24.0,84.5
2025-10-09T10:00:00,S43,259,7.8,0.0,26.0,78.2
2025-10-09T10:00:00,S111,228,12.0,1.8,22.4,91.3
2025-10-09T10:05:00,S109,273,14.2,0.0,23.5,88.2
2025-10-09T10:05:00,S106,232,3.0,0.0,28.8,88.7
2025-10-09T10:05:00,S117,289,5.2,0.2,24.1,88.6
2025-10-09T10:05:00,S107,228,8.7,0.0,28.5,74.6
2025-10-09T10:05:00,S115,288,5.0,0.6,24.3,97.4
2025-10-09T10:05:00,S60,272,10.9,0.0,23.9,86.9
2025-10-09T10:05:00,S44,342,10.1,1.2,22.2,99.8
2025-10-09T10:05:00,S43,260,6.8,0.4,25.2,81.0
2025-10-09T10:05:00,S111,230,12.6,5.6,21.3,97.6
2025-10-09T10:10:00,S109,273,13.5,0.2,23.4,90.2
2025-10-09T10:10:00,S106,273,5.0,0.0,26.7,80.8
2025-10-09T10:10:00,S117,290,4.7,0.0,24.1,90.8
2025-10-09T10:10:00,S107,251,13.7,0.0,26.4,75.5
2025-10-09T10:10:00,S115,274,5.5,0.4,24.5,97.4
2025-10-09T10:10:00,S60,277,8.7,0.0,23.9,85.2
2025-10-09T10:10:00,S44,359,6.5,0.4,22.6,99.1
2025-10-09T10:10:00,S43,274,7.6,1.8,23.7,91.6
2025-10-09T10:10:00,S111,225,12.0,3.4,21.3,98.6
2025-10-09T10:15:00,S109,276,12.0,0.2,23.3,90.7
2025-10-09T10:15:00,S106,273,6.3,0.2,24.7,86.2
2025-10-09T10:15:00,S117,278,4.0,0.0,24.3,92.5
2025-10-09T10:15:00,S107,252,15.1,0.0,26.0,74.1
2025-10-09T10:15:00,S115,274,4.4,0.2,24.4,97.2
2025-10-09T10:15:00,S60,278,6.6,0.0,23.9,86.0
2025-10-09T10:15:00,S44,28,3.4,0.0,22.7,98.7
2025-10-09T10:15:00,S43,280,7.4,1.6,23.3,92.9
2025-10-09T10:15:00,S111,212,8.5,2.4,21.4,98.9
2025-10-09T10:20:00,S109,277,11.7,0.2,22.7,94.3
2025-10-09T10:20:00,S106,278,8.1,0.2,22.8,97.8
2025-10-09T10:20:00,S117,271,3.5,0.0,24.0,94.1
2025-10-09T10:20:00,S107,253,14.3,0.0,25.8,75.2
2025-10-09T10:20:00,S115,263,5.9,0.2,24.4,96.6
2025-10-09T10:20:00,S60,286,4.4,0.0,23.6,87.4
2025-10-09T10:20:00,S44,54,2.0,0.0,22.8,98.1
2025-10-09T10:20:00,S43,284,7.1,1.6,22.9,96.0
2025-10-09T10:20:00,S111,219,7.3,2.4,21.4,99.0
2025-10-09T10:25:00,S109,274,11.0,1.4,22.7,94.1
2025-10-09T10:25:00,S106,280,6.6,4.4,22.4,99.9
2025-10-09T10:25:00,S117,277,3.9,1.2,23.6,95.4
2025-10-09T10:25:00,S107,256,13.1,0.0,25.6,76.8
2025-10-09T10:25:00,S115,258,8.0,0.0,24.4,96.0
2025-10-09T10:25:00,S60,294,3.0,0.0,23.8,87.9
2025-10-09T10:25:00,S44,74,2.0,0.0,23.1,98.1
2025-10-09T10:25:00,S43,288,6.4,0.8,22.8,96.4
2025-10-09T10:25:00,S111,235,7.5,1.6,21.4,99.1
2025-10-09T10:30:00,S109,275,8.7,1.0,22.9,93.9
2025-10-09T10:30:00,S117,275,3.3,0.4,23.7,96.6
2025-10-09T10:30:00,S107,261,11.0,0.0,25.0,81.3
2025-10-09T10:30:00,S115,256,8.6,0.0,24.5,95.6
2025-10-09T10:30:00,S60,294,4.2,0.0,24.3,84.5
2025-10-09T10:30:00,S44,56,2.0,0.0,23.2,96.9
2025-10-09T10:30:00,S43,300,5.8,1.8,22.7,96.8
2025-10-09T10:30:00,S111,245,8.8,0.6,21.5,99.2
2025-10-09T10:35:00,S109,279,5.6,0.4,23.1,93.3
2025-10-09T10:35:00,S117,269,3.4,0.2,23.8,97.0
2025-10-09T10:35:00,S107,268,10.6,0.0,24.8,83.3
2025-10-09T10:35:00,S115,258,8.0,0.2,24.8,95.5
2025-10-09T10:35:00,S60,292,5.0,0.0,24.4,84.4
2025-10-09T10:35:00,S44,353,2.3,0.0,23.4,95.7
2025-10-09T10:35:00,S43,314,5.7,1.4,22.8,98.1
2025-10-09T10:35:00,S111,246,8.3,0.2,21.7,99.3
2025-10-09T10:40:00,S109,288,4.4,0.0,23.5,90.3
2025-10-09T10:40:00,S117,271,3.7,0.2,24.1,97.1
2025-10-09T10:40:00,S107,262,10.9,0.0,24.8,83.5
2025-10-09T10:40:00,S115,255,7.9,0.8,24.7,96.1
2025-10-09T10:40:00,S60,288,4.5,0.0,24.6,83.3
2025-10-09T10:40:00,S44,324,2.9,0.0,23.6,95.8
2025-10-09T10:40:00,S43,317,5.3,1.2,22.6,98.5
2025-10-09T10:40:00,S111,244,6.7,0.0,21.7,99.3
2025-10-09T10:45:00,S109,295,3.7,0.0,23.7,89.7
2025-10-09T10:45:00,S117,272,3.9,0.4,24.2,97.0
2025-10-09T10:45:00,S107,258,10.1,0.0,24.8,83.6
2025-10-09T10:45:00,S115,240,8.9,0.0,24.8,96.0
2025-10-09T10:45:00,S60,275,4.5,0.0,24.6,83.9
2025-10-09T10:45:00,S44,340,3.5,0.0,23.4,96.4
2025-10-09T10:45:00,S43,317,4.3,0.2,22.6,98.8
2025-10-09T10:45:00,S111,249,5.8,0.0,21.9,99.3
2025-10-09T10:50:00,S109,292,2.7,0.0,23.9,89.3
2025-10-09T10:50:00,S117,268,4.5,0.4,24.4,97.3
2025-10-09T10:50:00,S107,264,8.7,0.0,24.7,84.4
2025-10-09T10:50:00,S115,233,10.5,0.0,25.5,95.9
2025-10-09T10:50:00,S60,269,4.9,0.0,24.7,84.4
2025-10-09T10:50:00,S44,343,4.3,0.0,23.7,97.0
2025-10-09T10:50:00,S43,317,3.3,0.0,22.7,98.8
2025-10-09T10:50:00,S111,246,4.2,0.0,22.0,99.3
2025-10-09T10:55:00,S109,296,2.2,0.0,24.1,89.0
2025-10-09T10:55:00,S106,302,5.6,0.2,23.0,99.7
2025-10-09T10:55:00,S117,261,4.6,0.4,24.6,97.6
2025-10-09T10:55:00,S107,266,8.1,0.0,24.4,85.7
2025-10-09T10:55:00,S115,233,12.4,0.0,25.3,95.3
2025-10-09T10:55:00,S60,276,4.9,0.0,24.8,85.1
2025-10-09T10:55:00,S44,329,4.8,0.0,23.8,97.4
2025-10-09T10:55:00,S43,339,3.3,0.2,22.8,98.8
2025-10-09T10:55:00,S111,245,4.7,0.0,22.1,99.3
2025-10-09T11:00:00,S109,304,2.4,0.0,24.1,88.6
2025-10-09T11:00:00,S106,310,5.3,0.0,23.0,99.7
2025-10-09T11:00:00,S117,261,5.7,1.4,24.1,98.7
2025-10-09T11:00:00,S107,269,9.2,0.2,24.0,86.0
2025-10-09T11:00:00,S115,229,12.8,0.0,25.5,93.5
2025-10-09T11:00:00,S60,285,4.0,0.0,24.7,86.1
2025-10-09T11:00:00,S44,324,5.9,0.0,23.9,97.2
2025-10-09T11:00:00,S43,16,3.7,0.2,23.0,98.3
2025-10-09T11:00:00,S111,248,5.3,0.0,22.0,99.3
