Station Name,Latitude,Longitude,Station ID
Ang Mo Kio Avenue 5,1.3764,103.8492,S109
Nanyang Avenue,1.34583,103.68166,S44
Pulau Ubin,1.4168,103.9673,S106
Banyan Road,1.256,103.679,S117
Kim Chuan Road,1.3399,103.8878,S43
East Coast Parkway,1.3135,103.9625,S107
Upper Changi Road North,1.3678,103.9826,S24
Tuas South Avenue 3,1.29377,103.61843,S115
Semakau Landfill,1.189,103.768,S102
Scotts Road,1.31055,103.8365,S111
Sentosa,1.25,103.8279,S60
Yio Chu Kang Road,1.37999,103.87643,S219
Ang Mo Kio Avenue 10,1.36019,103.85335,S216
Bishan Street 13,1.35041,103.85526,S217
Tanjong Rhu,1.29911,103.88289,S214
Geylang East Central,1.32785,103.88899,S215
Coronation Walk,1.32427,103.8097,S213
Punggol Central,1.4029,103.9092,S81
Mandai Lake Road,1.4044,103.78962,S40
Simei Avenue,1.3437,103.9444,S84
Toa Payoh North,1.3427,103.8482,S88
Hougang Avenue 1,1.35691,103.89088,S221
Henderson Road,1.28987,103.82364,S222
Upper Thomson Road,1.3701,103.8271,S08
Lornie Road,1.3415,103.8334,S07
Compassvale Lane,1.38666,103.89797,S220
Changi East Close,1.3136,104.00317,S208
Pasir Panjang,1.29164,103.7702,S203
Clementi Park,1.32311,103.76714,S201
Bukit Timah Road,1.3191,103.8191,S90
South Buona Vista Road,1.2841,103.7886,S92
Yishun Ring Road,1.42111,103.84472,S209
Pasir Ris Street 51,1.3662,103.9528,S94
Kranji Road,1.42918,103.75711,S211
Nicoll Highway,1.30105,103.8666,S119
Marine Parade Road,1.30648,103.9104,S113
Bukit Panjang Road,1.3824,103.7603,S64
Kranji Way,1.4387,103.7363,S66
Upper Peirce Reservoir Park,1.37,103.805,S69
Towner Road,1.3214,103.8577,S123
Marina Gardens Drive,1.2799,103.8703,S108
Jurong West Street 42,1.35167,103.72195,S229
Seletar Aerospace View,1.41284,103.86922,S900
Woodlands Drive 62,1.43944,103.80389,S227
Jurong West Street 73,1.34703,103.70073,S228
Malan Road,1.27472,103.80389,S226
Margaret Drive,1.29984,103.80264,S223
Airport Boulevard,1.34392,103.98409,S224
Kent Ridge Road,1.2923,103.7815,S71
Jurong Pier Road,1.3081,103.71,S33
Alexandra Road,1.2937,103.8125,S77
Somerset Road,1.3004,103.8372,S79
Poole Road,1.30703,103.89067,S78
Lim Chu Kang Road,1.43854,103.70131,S112
West Coast Road,1.30167,103.76444,S230
Woodlands Avenue 9,1.44387,103.78538,S104
Clementi Road,1.3337,103.7768,S50
Old Choa Chu Kang Road,1.37288,103.72244,S121
